event,field,producer,consumer,status,evidence
ai.model_run.completed,provider_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,model_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,prompt_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,completion_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,estimated_cost_brl,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,requested_at,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,provider_adapter,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,provider_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,model_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,prompt_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,completion_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,estimated_cost_brl,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.failed,requested_at,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.approved,module,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.approved,risk_score,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.rejected,module,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.rejected,risk_score,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.submitted,module,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.moderation.submitted,risk_score,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.approved,client_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.approved,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.rejected,client_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.rejected,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.submitted,client_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.client.submitted,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.approved,key_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.approved,key_hash,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.approved,key_hint,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.approved,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.rejected,key_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.rejected,key_hash,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.rejected,key_hint,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.rejected,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.submitted,key_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.submitted,key_hash,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.submitted,key_hint,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.key.submitted,scopes,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.approved,integration_type,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.approved,provider_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.rejected,integration_type,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.rejected,provider_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.submitted,integration_type,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.integration_run.submitted,provider_name,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.approved,target_url,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.approved,event_patterns,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.approved,signing_secret_reference,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.rejected,target_url,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.rejected,event_patterns,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.rejected,signing_secret_reference,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.submitted,target_url,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.submitted,event_patterns,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
api.webhook.submitted,signing_secret_reference,api_hub,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.archived,dataset_id,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.archived,name,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.archived,definition,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.archived,allowed_roles,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.published,dataset_id,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.published,name,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.published,definition,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dashboard.published,allowed_roles,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.published,name,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.published,source_module,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.published,source_resource_type,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.published,refresh_mode,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.refreshed,name,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.refreshed,source_module,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.refreshed,source_resource_type,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.dataset.refreshed,refresh_mode,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.export.completed,dashboard_id,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.export.completed,export_format,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bi.export.completed,requested_at,bi,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.completed,workflow_instance_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.completed,assignee_user_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.completed,due_at,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.completed,sla_policy_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.escalated,workflow_instance_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.escalated,assignee_user_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.escalated,due_at,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.task.escalated,sla_policy_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.cancelled,process_key,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.cancelled,sla_policy_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.cancelled,started_at,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.completed,process_key,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.completed,sla_policy_id,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
bpm.process.completed,started_at,bpm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,title,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,offer_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,consumer_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,company_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,company_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,business_activity_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,source_module,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.cancelled,source_resource_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,title,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,offer_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,consumer_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,company_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,company_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,business_activity_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,source_module,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.completed,source_resource_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,title,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,offer_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,consumer_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,company_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,company_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,business_activity_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,source_module,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.paused,source_resource_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,title,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,offer_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,consumer_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,company_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,company_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,business_activity_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,source_module,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
valley.catalog.offer.synced,source_resource_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,title,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,offer_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,consumer_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,company_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,company_category,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,business_activity_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,source_module,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.catalog_offer.submitted,source_resource_type,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.approved,cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.approved,root_cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.approved,legal_name,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.approved,legal_representative_user_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.rejected,cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.rejected,root_cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.rejected,legal_name,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.rejected,legal_representative_user_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.submitted,cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.submitted,root_cnpj,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.submitted,legal_name,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.company.submitted,legal_representative_user_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.role.assigned,company_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.role.assigned,role,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.user.revoked,company_id,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
business.user.revoked,role,business,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.activity.completed,lead_id,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.activity.completed,activity_type,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.activity.completed,scheduled_at,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.campaign.closed,campaign_key,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.campaign.closed,channel,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.campaign.launched,campaign_key,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.campaign.launched,channel,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.lead.disqualified,name,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.lead.disqualified,source,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.lead.qualified,name,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.lead.qualified,source,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.opportunity.lost,lead_id,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.opportunity.lost,title,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.opportunity.lost,expected_value_brl,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
crm.opportunity.proposed,lead_id,crm,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
